AgBC1,SARS2_WT
AgBC2,B.1.351
AgBC3,P.1
AgBC4, SARS_CoV1
AgBC5,HA1
AgBC6,SARS2_WT
AgBC7,B.1.351
AgBC8,P.1
AgBC9,YN02_RBD
AgBC10,HSA
AgBC11,HA1
AgBC12,SAV_PE
AgBC13,SAV_APC
